timestamp,P-PDG,P-TPT,T-TPT,P-MON-CKP,T-JUS-CKP,P-JUS-CKGL,QGL,start
0,0.0,14184150.0,116.5649,6117407.0,68.79141,3013205.0,0.0,1
1,0.0,14184150.0,116.5648,6117094.0,68.79129,3013205.0,0.0,0
2,0.0,14184150.0,116.5648,6116780.0,68.79118,3013206.0,0.0,0
3,0.0,14184150.0,116.5648,6116467.0,68.79105,3013206.0,0.0,0
4,0.0,14184150.0,116.5648,6116153.0,68.79094,3013206.0,0.0,0
5,0.0,14184150.0,116.5647,6115840.0,68.79082,3013206.0,0.0,0
6,0.0,14184150.0,116.5647,6115527.0,68.7907,3013207.0,0.0,0
7,0.0,14184150.0,116.5647,6115213.0,68.79059,3013207.0,0.0,0
8,0.0,14184150.0,116.5646,6114900.0,68.79047,3013208.0,0.0,0
9,0.0,14184150.0,116.5646,6114586.0,68.79035,3013208.0,0.0,0
10,0.0,14184150.0,116.5646,6114273.0,68.79023,3013208.0,0.0,0
11,0.0,14184150.0,116.5645,6113960.0,68.79012,3013209.0,0.0,0
12,0.0,14184150.0,116.5645,6113646.0,68.78999,3013209.0,0.0,0
13,0.0,14184150.0,116.5644,6113332.0,68.78988,3013209.0,0.0,0
14,0.0,14184150.0,116.5644,6113019.0,68.78976,3013210.0,0.0,0
15,0.0,14184150.0,116.5644,6112706.0,68.78964,3013210.0,0.0,0
16,0.0,14184150.0,116.5643,6112392.0,68.78953,3013210.0,0.0,0
17,0.0,14184150.0,116.5643,6112078.0,68.78941,3013211.0,0.0,0
18,0.0,14184150.0,116.5643,6111765.0,68.78929,3013211.0,0.0,0
19,0.0,14184150.0,116.5642,6111452.0,68.78917,3013211.0,0.0,0
20,0.0,14184150.0,116.5642,6111138.0,68.78905,3013212.0,0.0,0
21,0.0,14184150.0,116.5642,6110825.0,68.78893,3013212.0,0.0,0
22,0.0,14184150.0,116.5641,6110511.0,68.78882,3013213.0,0.0,0
23,0.0,14184150.0,116.5641,6110198.0,68.7887,3013213.0,0.0,0
24,0.0,14184150.0,116.5641,6109884.0,68.78858,3013213.0,0.0,0
25,0.0,14184150.0,116.564,6109571.0,68.78847,3013214.0,0.0,0
26,0.0,14184150.0,116.564,6109258.0,68.78835,3013214.0,0.0,0
27,0.0,14184150.0,116.564,6108944.0,68.78823,3013214.0,0.0,0
28,0.0,14184150.0,116.5639,6108631.0,68.78811,3013215.0,0.0,0
29,0.0,14184150.0,116.5639,6108317.0,68.78799,3013215.0,0.0,0
30,0.0,14184150.0,116.5639,6108004.0,68.78788,3013215.0,0.0,0
31,0.0,14184150.0,116.5638,6107690.0,68.78776,3013216.0,0.0,0
32,0.0,14184150.0,116.5638,6107377.0,68.78764,3013216.0,0.0,0
33,0.0,14184150.0,116.5638,6107063.0,68.78752,3013216.0,0.0,0
34,0.0,14184150.0,116.5637,6106750.0,68.78741,3013217.0,0.0,0
35,0.0,14184150.0,116.5637,6106437.0,68.78728,3013217.0,0.0,0
36,0.0,14184150.0,116.5637,6106123.0,68.78717,3013218.0,0.0,0
37,0.0,14184150.0,116.5636,6105809.0,68.78705,3013218.0,0.0,0
38,0.0,14184150.0,116.5636,6105496.0,68.78693,3013218.0,0.0,0
39,0.0,14184150.0,116.5636,6105183.0,68.78682,3013219.0,0.0,0
40,0.0,14184150.0,116.5635,6104869.0,68.7867,3013219.0,0.0,0
41,0.0,14184150.0,116.5635,6104556.0,68.78658,3013219.0,0.0,0
42,0.0,14184150.0,116.5635,6104242.0,68.78646,3013220.0,0.0,0
43,0.0,14184150.0,116.5634,6103929.0,68.78635,3013220.0,0.0,0
44,0.0,14184150.0,116.5634,6103615.0,68.78622,3013220.0,0.0,0
45,0.0,14184150.0,116.5634,6103302.0,68.78611,3013221.0,0.0,0
46,0.0,14184150.0,116.5633,6102988.0,68.786,3013221.0,0.0,0
47,0.0,14184150.0,116.5633,6102517.0,68.78587,3013221.0,0.0,0
48,0.0,14184150.0,116.5633,6102045.0,68.78576,3013222.0,0.0,0
49,0.0,14184150.0,116.5632,6101573.0,68.78564,3013222.0,0.0,0
50,0.0,14184150.0,116.5632,6101101.0,68.78552,3013223.0,0.0,0
51,0.0,14184150.0,116.5632,6100630.0,68.7854,3013223.0,0.0,0
52,0.0,14184150.0,116.5631,6100158.0,68.78529,3013223.0,0.0,0
53,0.0,14184150.0,116.5631,6099686.0,68.78517,3013224.0,0.0,0
54,0.0,14184150.0,116.5631,6099215.0,68.78505,3013224.0,0.0,0
55,0.0,14184150.0,116.563,6098743.0,68.78493,3013224.0,0.0,0
56,0.0,14184150.0,116.563,6098271.0,68.78481,3013225.0,0.0,0
57,0.0,14184150.0,116.563,6097799.0,68.7847,3013225.0,0.0,0
58,0.0,14184150.0,116.5629,6097327.0,68.78458,3013225.0,0.0,0
59,0.0,14184150.0,116.5629,6096856.0,68.78446,3013226.0,0.0,0
60,0.0,14184150.0,116.5629,6096384.0,68.78435,3013226.0,0.0,0
61,0.0,14184150.0,116.5628,6095912.0,68.78423,3013227.0,0.0,0
62,0.0,14184150.0,116.5628,6095440.0,68.78411,3013227.0,0.0,0
